name,area,wage,experience,frim,others
数据标注实习生,五山,2k-4k,"2k-4k
                        经验应届毕业生 / 不限",掌门集团,"移动互联网,消费生活 / B轮 / 500-2000人"
大数据开发工程师,琶洲,10k-20k,"10k-20k
                        经验1-3年 / 本科",君海游戏,游戏 / 上市公司 / 500-2000人
业务数据分析师,岭南,15k-30k,"15k-30k
                        经验3-5年 / 本科",广州市果肉教育科技有限公司,"移动互联网,教育 / 不需要融资 / 500-2000人"
数据分析师/数据运营,跑马场,10k-20k,"10k-20k
                        经验3-5年 / 本科",瓷肌,"移动互联网,电商 / B轮 / 150-500人"
资深数据分析师（新零售）,白鹅潭,15k-30k,"15k-30k
                        经验5-10年 / 本科",唯品会,电商 / 上市公司 / 2000人以上
数据分析师,海珠区,15k-25k,"15k-25k
                        经验3-5年 / 本科",中烁网络,游戏 / 不需要融资 / 150-500人
大数据开发工程师,五山,20k-30k,"20k-30k
                        经验3-5年 / 大专",华广软件,"企业服务,人工智能 / 未融资 / 50-150人"
海外市场数据分析专员,天河城,4k-8k,"4k-8k
                        经验应届毕业生 / 不限",冰鸟,"移动互联网,游戏 / 上市公司 / 150-500人"
数据产品经理,黄埔区,15k-25k,"15k-25k
                        经验不限 / 本科",蓝月亮,消费生活 / 不需要融资 / 2000人以上
大数据产品经理,黄埔区,15k-20k,"15k-20k
                        经验3-5年 / 本科",IFEC,广告营销 / 不需要融资 / 50-150人
大数据项目经理-广州-00179,冼村,15k-20k,"15k-20k
                        经验5-10年 / 本科",DataStory,数据服务 / B轮 / 150-500人
大数据算法工程师,天河区,10k-20k,"10k-20k
                        经验1-3年 / 本科",建顺信息,"消费生活,物流丨运输 / A轮 / 50-150人"
数据分析实习生,南沙区,2k-3k,"2k-3k
                        经验不限 / 本科",广汽蔚来,汽车丨出行 / A轮 / 150-500人
大数据开发工程师,萝岗区,8k-12k,"8k-12k
                        经验1-3年 / 本科",广州海颐软件有限公司,移动互联网 / 未融资 / 150-500人
数据产品经理,钟村,20k-35k,"20k-35k
                        经验3-5年 / 本科",翼课网,"移动互联网,教育 / 不需要融资 / 500-2000人"
大数据挖掘师,五山,15k-28k,"15k-28k
                        经验3-5年 / 本科",浩瀚深度,"硬件,数据服务 / 上市公司 / 150-500人"
大数据组件开发工程师,天河区,15k-25k,"15k-25k
                        经验1-3年 / 本科",网易,电商 / 上市公司 / 2000人以上
大数据架构师,棠下,30k-50k,"30k-50k
                        经验5-10年 / 本科",广州好邻居网络科技有限公司,"移动互联网,企业服务 / A轮 / 50-150人"
数据产品经理,天河城,15k-22k,"15k-22k
                        经验3-5年 / 不限",玄武科技,企业服务 / 上市公司 / 500-2000人
AI数据运营工程师（数据挖掘 算法）,珠江新城,14k-18k,"14k-18k
                        经验不限 / 本科",森焱国际供应链管理,"电商,其他 / 未融资 / 50-150人"
高级数据运营专员,天河北,10k-20k,"10k-20k
                        经验3-5年 / 本科",全球购骑士特权,电商 / A轮 / 500-2000人
大数据开发工程师,天河区,12k-22k,"12k-22k
                        经验3-5年 / 本科",Goat Games,游戏 / 上市公司 / 50-150人
大数据运维工程师,东风东,14k-22k,"14k-22k
                        经验3-5年 / 大专",carenet,"移动互联网,消费生活 / 未融资 / 150-500人"
客服数据标注,石碁,3k-5k,"3k-5k
                        经验不限 / 不限",半塘网络,教育 / 未融资 / 少于15人
模型开发及数据分析,林和,15k-30k,"15k-30k
                        经验5-10年 / 本科",中邮消费金融,金融 / 不需要融资 / 500-2000人
数据产品经理,越秀区,15k-20k,"15k-20k
                        经验3-5年 / 本科",筷子科技,"数据服务,广告营销 / B轮 / 50-150人"
数据治理经理,珠江新城,25k-35k,"25k-35k
                        经验5-10年 / 本科",信创电子,"电商,企业服务 / 不需要融资 / 50-150人"
数据开发工程师,黄岐,20k-30k,"20k-30k
                        经验3-5年 / 本科",一手,"移动互联网,电商 / B轮 / 500-2000人"
数据分析师,海珠区,10k-15k,"10k-15k
                        经验不限 / 本科",广州汇智通信技术有限公司,信息安全 / 不需要融资 / 500-2000人
数据治理工程师,员村,15k-22k,"15k-22k
                        经验3-5年 / 本科",海捷科技,"移动互联网,数据服务 / 不需要融资 / 50-150人"
大数据产品经理,天河公园,15k-30k,"15k-30k
                        经验3-5年 / 本科",纳海川科技,"移动互联网,数据服务 / 不需要融资 / 50-150人"
数据客服,永平,3k-5k,"3k-5k
                        经验1-3年 / 大专",德森金融,金融 / 不需要融资 / 150-500人
